Player_IDs,Level,Year,Max_Sprint_Speed,Max_Throw_Speed,Avg_Throw_Speed
636,4,1883,29.573978366547177,80.31717706103821,73.08921267819728
721,4,1883,27.494464077019213,76.88475441895623,69.7499529728596
409,4,1883,26.91363528957023,74.23905318509534,70.23797078653175
636,4,1884,28.027823419327447,84.6463664793518,78.706859383076
835,4,1884,27.600257817846025,72.1830266073152,67.99429263584075
901,4,1884,28.36505901077944,79.06444889544186,71.73753702177615
345,4,1884,28.762974355931966,81.39172726289874,72.86804388345568
728,4,1884,22.739719558626927,0.0,0.0
345,3,1883,27.264180978575165,78.1156967973597,70.1144221064562
345,3,1884,28.841780558635765,95.87711348208452,79.23658184125665
565,3,1884,27.538961472248733,132.19722959411462,79.98089873113028
334,3,1884,28.48594876303052,71.75688741305599,65.58983478370939
993,3,1884,29.753812389759403,86.49499934061475,76.64835099601768
334,2,1883,27.50782667832921,62.63627354157121,62.63627354157121
993,2,1883,29.00449788231129,78.63932420145112,72.29370595887202
973,2,1884,26.449882723085945,79.36571732143264,76.28897834286695
993,2,1884,28.967115967118644,88.99753871111471,81.45123384355702
565,2,1884,29.606212873694265,87.22307575359432,80.54640141411902
513,1,1883,28.6623367522608,77.95874848704403,69.10586377838641
993,1,1883,29.83824901653077,74.25562346227221,74.25562346227221
442,1,1883,27.76103515167437,73.26317514425874,73.26317514425874
472,1,1883,26.549722190495704,75.24725684088217,66.83059010635581
626,1,1884,28.79369563224735,89.78018806869392,81.91451773881279
630,1,1884,28.019442548769625,88.22393376981496,72.44549006131773
